codigo,descripcion,presentacion,rubro_id,observaciones,numero_ingredientes,x0,x1,x2,x3,x4
750043502287,Shampoo Pantene Pro-V Hidratacion Extrema,300 ml,Cuidado Personal;Cuidado del Cabello;Shampoo,,21,,,,,
7506195131664,Oral B Crema Dental Complete 4en1,140 gr,Cuidado Personal;Cuidado Oral;Crema Dental,,16,,,,,
7793100111877,Colgate Crema Dental Colgate Triple Acción Menta Original,90 gr,Cuidado Personal;Cuidado Oral;Crema Dental,11% Sodium Monofluorophosphate (1450 ppm fluorine),18,,,,,
7790010616751,Carefree Protectores Diarios Todos los Dias,,Cuidado Personal;Protección Femenina;Protectores Diarios,Contiene microplásticos,6,,,,,
7790010570602,Johnson's Baby Shampoo Protección UV,200 ml,Cuidado del Bebé;Para el Baño,,17,,,,,
7896015519223,Sensodyne blanqueador extra fresh,50 gr,Cuidado Personal;Cuidado Oral;Crema Dental,Sodium Fluoride (contiene 1384 ppm de ion flúor). Potassium nitrate 5 %,16,,,,,
7891150044555,BABY DOVE SHAMPOO CABELLOS RIZADOS CON ACEITE DE COCO,200 ml,Cuidado del Bebé;Para el Baño,,13,,,,,
7891150036390,baby dove acondicionador humectacion enriquecida,200 ml,Cuidado del Bebé;Para el Baño,,13,,,,,
7790010684224,Johnson´s baby colonia fresca caricia,100 ml,Cuidado del Bebé;Para Antes o Después del Baño,,14,,,,,
7898422746759,JABON DE TOCADOR DOVE CREMOSO,90 gr,Cuidado Personal;Cuidado Corporal;Jabones,,23,,,,,
7891150064980,JABON DE TOCADOR DOVE NUTRITIVE SECRETS,90 gr,Cuidado Personal;Cuidado Corporal;Jabones,,27,,,,,
7509552800098,AGUA MICELAR BIFASICA L´OREAL PARIS,200 ml,Cuidado Personal;Cuidado Corporal;Cremas Corporales,Se aclara que hay test clinico Probado en piel sensible bajo control dermatologico y oftalmologico,10,,,,,
7791293036168,TALCO REXONA EFFICIENT P/PIES,200 gr,Cuidado Personal;Cuidado Corporal;Manos y Pies,Testeo in vitro realizado con M luteus y S aureus Producto cosmetico sin accion terapeutica ENVASE: Plastico 7,10,,,,,
7899846091944,Ekos Pitanga Natura Pulpa hidratante para manos,75 gr,Cuidado Personal;Cuidado Corporal;Manos y Pies,ENVASE: 20% del empaque realizado en material reciclado post-consumo 70% del producto con ingredientes de origen vegetal,27,,,,,
77942333,ANTITRANSPIRANTE DOVE GO FRESH,50 ml,Cuidado Personal;Cuidado Corporal;Desodorante de Hombre,No contiene alcohol etilico,14,,,,,
7509552800418,Elvive Acondicionador Arcilla Purificante Elvive Loreal Parí­s,400 ml,Cuidado Personal;Cuidado del Cabello;Acondicionador,,26,,,,,
7798096056812,Jabon Glicerina neutro Estilo Spa,,Cuidado Personal;Cuidado Corporal;Jabones,,14,,,,,
7794640630507,Antitranspirante bolilla Etiquet Men,60 gr,Cuidado Personal;Cuidado Corporal;Desodorante de Hombre,"En Fragance aclara: contiene Coumarin, Eugenol, Limonene y Linalool",11,,,,,
4005800137556,NIVEA Crema Hidratante en Lata,150 ml,Cuidado Personal;Cuidado Corporal;Cremas Corporales,,22,,,,,
7891150051553,"Shampoo Tresemmé detox capilar, con té verde, jengibre y proteí­na de trigo",,Cuidado Personal;Cuidado del Cabello;Shampoo,Sin adicion de parabenos y colorantes,22,,,,,
7500435106412,Acondicionador PANTENE 3MIN HIDRATACION EXTREMA,170 ml,Cuidado Personal;Cuidado del Cabello;Acondicionador,,18,,,,,
7790740505578,Plusbelle Shampoo Lacio,1000 ml,Cuidado Personal;Cuidado del Cabello;Shampoo,,26,,,,,
7790396104095,Jabon Tocador Heno de Pravia ORIGINAL,100 gr,Cuidado Personal;Cuidado Corporal;Jabones,,21,,,,,
7891010619442,Enj Bucal LISTERINE Cool Mint Zero Alcohol,250 ml,Cuidado Personal;Cuidado Oral;Enjuague Bucal,,14,,,,,
7790010681650,Johnson's baby acondicionador fragancia prolongada,,Cuidado del Bebé;Para el Baño,,13,,,,,
7791293038025,Jabon Tocador Suave pepino & Aloe,3 x 90 gr,Cuidado Personal;Cuidado Corporal;Jabones,,20,,,,,
7791293033075,Crema corporal St Ives iel renovada,532 ml,Cuidado Personal;Cuidado Corporal;Cremas Corporales,,23,,,,,
8901030661860,Dove Crema nutritiva enriquecida,75 ml,Cuidado Personal;Cuidado Corporal;Cremas Corporales,"Aclara ingredientes correctos al momento de la publicación, consultar siempre el envase",27,,,,,
4005800137570,Atrix Intensive crema para manos,60 ml/58 gr,Cuidado Personal;Cuidado Corporal;Manos y Pies,Sin colorantes artificiales Dermatolpogicamente probada,23,,,,,
650240024689,Tí­o Nacho Acondicionador Anti-Edad Jalea Real,415 ml,Cuidado Personal;Cuidado del Cabello;Acondicionador,Con ingredientes de origen natural,23,,,,,
7798140259930,Tí­o Nacho Tratamiento Capilar reparador Aloe puro,300 ml,Cuidado Personal;Cuidado del Cabello;Shampoo,Con ingredientes de origen natural,25,,,,,
7791001002140,Biferdil bálsamo BA con filtro UV,395 g/400 ml,Cuidado Personal;Cuidado del Cabello;Tratamiento Capilar,No testeado en animales,21,,,,,
7792640007206,CAPILATIS Shampoo Dermo Protector,420 ml,Cuidado Personal;Cuidado del Cabello;Shampoo,No irritante,13,,,,,
